DateTime,Open,High,Low,Close,Volume
2025-03-10 15:00:00,18500.0,18510.23,18489.23,18503.97,105
2025-03-10 15:03:01,18503.97,18516.0,18495.0,18502.86,302
2025-03-10 15:06:20,18502.86,18514.6,18493.6,18508.04,340
2025-03-10 15:09:26,18508.04,18525.13,18504.13,18520.2,464
2025-03-10 15:10:47,18520.2,18530.78,18509.78,18518.29,392
2025-03-10 15:13:57,18518.29,18527.21,18506.21,18516.38,129
2025-03-10 15:20:14,18516.38,18534.42,18513.42,18528.98,380
2025-03-10 15:21:21,18528.98,18543.7,18522.7,18535.06,107
2025-03-10 15:29:21,18535.06,18545.09,18524.09,18531.24,152
2025-03-10 15:29:31,18531.24,18544.0,18523.0,18535.51,177
2025-03-10 15:30:42,18535.51,18541.7,18520.7,18531.74,280
2025-03-10 15:31:06,18531.74,18543.24,18522.24,18527.95,289
2025-03-10 15:31:28,18527.95,18538.99,18517.99,18529.83,282
2025-03-10 15:36:08,18529.83,18533.59,18512.59,18514.46,382
2025-03-10 15:43:03,18514.46,18518.54,18497.54,18500.63,341
2025-03-10 15:47:12,18500.63,18511.18,18490.18,18496.13,477
2025-03-10 15:57:34,18496.13,18501.24,18480.24,18488.04,190
2025-03-10 15:58:14,18488.04,18500.77,18479.77,18490.58,163
2025-03-10 15:58:39,18490.58,18497.91,18476.91,18483.33,460
2025-03-10 16:00:41,18483.33,18488.71,18467.71,18472.07,281
2025-03-10 16:05:34,18472.07,18488.47,18467.47,18483.85,325
2025-03-10 16:05:44,18483.85,18496.66,18475.66,18482.07,406
2025-03-10 16:20:41,18482.07,18491.54,18470.54,18482.65,273
2025-03-10 16:23:14,18482.65,18489.06,18468.06,18471.29,396
2025-03-10 16:33:53,18471.29,18479.81,18458.81,18466.99,134
2025-03-10 16:35:08,18466.99,18478.62,18457.62,18467.94,278
2025-03-10 16:36:50,18467.94,18476.09,18455.09,18458.8,412
2025-03-10 16:40:41,18458.8,18468.02,18447.02,18461.89,190
2025-03-10 16:45:01,18461.89,18470.22,18449.22,18457.16,394
2025-03-10 16:45:45,18457.16,18467.63,18446.63,18454.91,96
2025-03-10 16:53:05,18454.91,18462.79,18441.79,18450.19,471
2025-03-10 16:58:40,18450.19,18468.17,18447.17,18465.1,111
2025-03-10 16:58:50,18465.1,18477.62,18456.62,18465.07,86
2025-03-10 16:59:13,18465.07,18473.05,18452.05,18456.67,135
2025-03-10 17:01:06,18456.67,18468.14,18447.14,18463.34,101
2025-03-10 17:02:48,18463.34,18470.13,18449.13,18453.65,386
2025-03-10 17:06:12,18453.65,18468.81,18447.81,18455.41,417
2025-03-10 17:06:28,18455.41,18458.25,18437.25,18439.82,204
2025-03-10 17:09:19,18439.82,18444.35,18423.35,18429.32,456
2025-03-10 17:11:58,18429.32,18443.91,18422.91,18431.03,430
2025-03-10 17:12:42,18431.03,18445.66,18424.66,18437.08,172
2025-03-10 17:14:52,18437.08,18450.64,18429.64,18438.58,163
2025-03-10 17:15:33,18438.58,18451.69,18430.69,18437.77,194
2025-03-10 17:16:00,18437.77,18448.33,18427.33,18435.49,425
2025-03-10 17:18:21,18435.49,18439.5,18418.5,18423.79,215
2025-03-10 17:28:49,18423.79,18430.95,18409.95,18418.18,398
2025-03-10 17:29:33,18418.18,18430.0,18409.0,18414.66,139
2025-03-10 17:30:46,18414.66,18428.03,18407.03,18423.29,493
2025-03-10 17:31:35,18423.29,18437.82,18416.82,18426.19,450
2025-03-10 17:32:27,18426.19,18428.66,18407.66,18412.24,472
2025-03-10 17:33:52,18412.24,18423.57,18402.57,18415.0,445
2025-03-10 17:37:13,18415.0,18426.03,18405.03,18412.09,152
2025-03-10 17:37:23,18412.09,18421.62,18400.62,18406.85,273
2025-03-10 17:46:04,18406.85,18418.42,18397.42,18411.93,285
2025-03-10 17:46:14,18411.93,18426.47,18405.47,18420.36,212
2025-03-10 17:52:07,18420.36,18433.79,18412.79,18427.97,231
2025-03-10 17:58:19,18427.97,18432.89,18411.89,18421.4,259
2025-03-10 18:00:22,18421.4,18429.9,18408.9,18419.08,394
2025-03-10 18:00:47,18419.08,18429.3,18408.3,18421.89,395
2025-03-10 18:03:05,18421.89,18434.71,18413.71,18429.85,464
2025-03-10 18:05:49,18429.85,18441.56,18420.56,18426.16,233
2025-03-10 18:11:12,18426.16,18435.92,18414.92,18424.82,141
2025-03-10 18:13:24,18424.82,18431.55,18410.55,18416.12,453
2025-03-10 18:14:52,18416.12,18422.16,18401.16,18406.72,186
2025-03-10 18:19:54,18406.72,18423.17,18402.17,18413.41,270
2025-03-10 18:30:50,18413.41,18429.54,18408.54,18424.43,95
2025-03-10 18:33:41,18424.43,18436.48,18415.48,18424.01,57
2025-03-10 18:39:25,18424.01,18439.74,18418.74,18432.19,228
2025-03-10 18:41:56,18432.19,18442.03,18421.03,18435.21,342
2025-03-10 18:45:10,18435.21,18443.45,18422.45,18430.18,380
2025-03-10 18:48:23,18430.18,18443.07,18422.07,18433.21,210
2025-03-10 18:51:45,18433.21,18448.44,18427.44,18445.65,103
2025-03-10 18:52:49,18445.65,18456.93,18435.93,18445.47,291
2025-03-10 18:55:11,18445.47,18463.95,18442.95,18458.1,162
2025-03-10 18:57:40,18458.1,18458.14,18437.14,18437.23,72
2025-03-10 18:58:43,18437.23,18453.41,18432.41,18443.93,184
2025-03-10 18:59:54,18443.93,18451.29,18430.29,18444.73,238
2025-03-10 19:03:52,18444.73,18453.38,18432.38,18442.45,471
2025-03-10 19:06:17,18442.45,18454.87,18433.87,18443.3,162
2025-03-10 19:06:43,18443.3,18445.42,18424.42,18427.52,413
2025-03-10 19:11:44,18427.52,18440.18,18419.18,18425.9,364
2025-03-10 19:17:40,18425.9,18436.24,18415.24,18428.91,389
2025-03-10 19:19:24,18428.91,18446.12,18425.12,18440.87,94
2025-03-10 19:20:03,18440.87,18449.62,18428.62,18436.85,492
2025-03-10 19:28:11,18436.85,18442.78,18421.78,18430.5,226
2025-03-10 19:34:05,18430.5,18440.89,18419.89,18426.63,209
2025-03-10 19:34:52,18426.63,18442.62,18421.62,18434.1,407
2025-03-10 19:35:08,18434.1,18448.14,18427.14,18436.86,239
2025-03-10 19:36:45,18436.86,18446.32,18425.32,18432.75,406
2025-03-10 19:39:51,18432.75,18446.19,18425.19,18436.99,409
